Rank,Symbol,Market Cap,Price,Date
5,PPC,"$3,159,445.71",$0.1585,2013-08-11
4,NMC,"$4,222,475.34",$0.673,2013-08-11
3,XRP,"$34,518,516.10",$0.004415,2013-08-11
2,LTC,"$54,533,789.26",$2.69,2013-08-11
12,FRC,"$158,239.86",$0.006616,2013-08-11
24,CNC,"$37,533.05",$0.00714,2013-08-11
26,FRK,"$21,158.80",$0.4672,2013-08-11
27,BTE,"$17,335.75",$0.01869,2013-08-11
25,LKY,"$26,555.26",$0.004479,2013-08-11
48,EZC,"$1,559.03",$0.0002411,2013-08-11
47,ELC,"$1,895.17",$0.0841,2013-08-11
46,HYC,"$2,503.12",$0.004887,2013-08-11
45,DBL,"$2,749.47",$0.005087,2013-08-11
44,NBL,"$3,958.04",$0.004201,2013-08-11
43,SBC,"$4,134.11",$0.0009776,2013-08-11
42,GLC,"$5,292.93",$0.0003696,2013-08-11
41,XNC,"$5,307.16",$0.00003327,2013-08-11
40,MEM,"$6,189.61",$0.0002411,2013-08-11
39,SPT,"$6,637.76",$0.01356,2013-08-11
49,JKC,"$1,446.99",$0.0002185,2013-08-11
37,CSC,"$7,667.76",$0.003744,2013-08-11
36,LBW,"$9,326.64",$0.01526,2013-08-11
35,KGC,"$9,407.60",$0.001001,2013-08-11
34,ALF,"$10,672.25",$0.00105,2013-08-11
33,BTG,"$10,887.59",$0.5891,2013-08-11
32,CRC,"$11,206.26",$0.1201,2013-08-11
31,ARG,"$12,398.36",$0.03161,2013-08-11
30,CAP,"$14,702.60",$0.021,2013-08-11
29,ANC,"$14,967.80",$0.0399,2013-08-11
28,BTB,"$15,576.62",$3.15,2013-08-11
38,EMD,"$6,647.35",$0.00442,2013-08-11
14,FRC,"$197,891.11",$0.008093,2013-08-18
15,WDC,"$132,499.67",$0.008058,2013-08-18
16,YAC,"$117,999.80",$0.02077,2013-08-18
21,PXC,"$63,024.51",$0.01815,2013-08-18
18,IXC,"$93,476.22",$0.006305,2013-08-18
19,MEC,"$93,152.95",$0.005903,2013-08-18
20,MNC,"$93,107.61",$0.07378,2013-08-18
13,DGC,"$251,720.82",$0.03499,2013-08-18
17,CBX,"$93,795.56",$0.1476,2013-08-18
12,DVC,"$289,562.33",$0.00005675,2013-08-18
7,NVC,"$1,890,229.07",$5.27,2013-08-18
10,IFC,"$385,870.29",$0.000005276,2013-08-18
9,TRC,"$710,540.21",$0.1952,2013-08-18
8,XPM,"$1,362,819.31",$0.8285,2013-08-18
6,FTC,"$2,041,295.25",$0.1476,2013-08-18
5,PPC,"$3,363,135.65",$0.168,2013-08-18
4,NMC,"$4,320,531.60",$0.681,2013-08-18
3,XRP,"$43,916,495.73",$0.005617,2013-08-18
2,LTC,"$57,197,936.54",$2.80,2013-08-18
22,BQC,"$62,869.00",$0.002781,2013-08-18
11,GLC,"$327,067.37",$0.01264,2013-08-18
23,FST,"$41,369.38",$0.002206,2013-08-18
1,BTC,"$1,313,544,012.50",$113.50,2013-08-18
25,CNC,"$35,798.33",$0.00681,2013-08-18
46,ELC,"$1,427.12",$0.06322,2013-08-18
45,DBL,"$3,213.64",$0.005566,2013-08-18
44,HYC,"$3,836.52",$0.007491,2013-08-18
43,EMD,"$4,193.77",$0.002569,2013-08-18
42,SBC,"$4,575.74",$0.001021,2013-08-18
41,SPT,"$4,657.06",$0.007094,2013-08-18
40,CRC,"$5,109.25",$0.05108,2013-08-18
39,EZC,"$5,603.18",$0.000813,2013-08-18
38,NBL,"$5,737.49",$0.006017,2013-08-18
37,NAN,"$5,757.75",$0.007776,2013-08-18
24,FRK,"$37,025.53",$0.7945,2013-08-18
35,MEM,"$8,625.30",$0.0003124,2013-08-18
36,CSC,"$6,652.47",$0.002986,2013-08-18
27,ANC,"$26,284.27",$0.06356,2013-08-18
28,XNC,"$17,082.23",$0.0001038,2013-08-18
29,BTE,"$16,368.06",$0.01759,2013-08-18
26,LKY,"$28,728.32",$0.004768,2013-08-18
31,BTB,"$12,337.97",$2.41,2013-08-18
32,GLC,"$9,588.58",$0.0006685,2013-08-18
33,ALF,"$9,471.43",$0.000849,2013-08-18
34,KGC,"$9,061.50",$0.0009023,2013-08-18
30,ARG,"$13,752.44",$0.03518,2013-08-18
13,FRC,"$211,349.14",$0.008471,2013-08-25
21,PXC,"$67,128.49",$0.01933,2013-08-25
20,ANC,"$73,233.32",$0.1716,2013-08-25
19,IXC,"$93,650.62",$0.006229,2013-08-25
18,YAC,"$94,940.73",$0.01587,2013-08-25
16,CBX,"$104,095.81",$0.1526,2013-08-25
15,WDC,"$114,698.19",$0.00659,2013-08-25
14,GLC,"$170,528.98",$0.006534,2013-08-25
12,DGC,"$248,936.60",$0.03297,2013-08-25
7,NVC,"$1,711,800.36",$4.64,2013-08-25
10,IFC,"$435,199.15",$0.000005807,2013-08-25
9,TRC,"$628,218.78",$0.1722,2013-08-25
8,XPM,"$1,298,228.08",$0.7378,2013-08-25
22,QRK,"$65,187.33",$0.0003834,2013-08-25
6,FTC,"$1,885,131.96",$0.1307,2013-08-25
5,PPC,"$3,531,624.24",$0.1758,2013-08-25
4,NMC,"$3,939,439.05",$0.6142,2013-08-25
3,XRP,"$47,719,524.89",$0.006104,2013-08-25
2,LTC,"$53,577,769.50",$2.59,2013-08-25
1,BTC,"$1,417,199,162.92",$122.11,2013-08-25
11,DVC,"$308,306.94",$0.00005983,2013-08-25
24,MNC,"$56,127.27",$0.04396,2013-08-25
17,MEC,"$96,327.85",$0.006104,2013-08-25
23,FST,"$56,190.49",$0.00276,2013-08-25
25,BQC,"$49,973.09",$0.002174,2013-08-25
